district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Chikankan,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL
Chirundu,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL
Choma,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Gwembe,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Itezhi-Tezhi,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Kalomo,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Kazungula,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Livingstone,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL
Mazabuka,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL
Monze,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Namwala,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
Pemba,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟠 MODERATE,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🟢 NORMAL,🔴 EXTREME,🟢 NORMAL,🟢 NORMAL
