district,SSI_Mean,SSI_Min,SSI_Neg_Integral,VHI_Mean,NDVI_Max,SPEI3_Min,NINO34_Avg
Pemba,-1.5615734966349268,-3.6946847662103983,-179.4333770660529,-1.0706205335566925,0.6644972386889028,-2.581924432893899,1.5466666666666666
Choma,-1.5144376103047124,-3.2685936565180307,-158.04755541576966,-0.9380733638999162,0.6618167126601777,-2.508585442597842,1.5466666666666666
Monze,-1.3525120184929609,-3.4775820297656277,-152.91544743146937,-0.8163297971287576,0.678680471632988,-2.3998149327793854,1.5466666666666666
Kalomo,-1.4414354814679056,-3.002375046183192,-143.64172764168745,-1.1308792669263497,0.5938672947656926,-2.603139019660958,1.5466666666666666
Itezhi-Tezhi,-1.3258341077608005,-2.9605059241228986,-134.2055220072092,-1.0017940670896888,0.7265626931530638,-2.8658842915664455,1.5466666666666666
Gwembe,-1.2542350606278736,-3.145491486064967,-133.8024795243975,-0.9438657442330277,0.6030116411553208,-2.4672700365567826,1.5466666666666666
Mazabuka,-1.127395798342475,-3.25221232631932,-131.08550119646776,-0.632848094195065,0.7262822634575731,-2.345005016114174,1.5466666666666666
Chikankanta,-1.1565006036933179,-3.3002477486114974,-126.48844824477695,-0.5456748226354535,0.7272180518699156,-2.4239208969138737,1.5466666666666666
Namwala,-1.1966133286607243,-2.7049931210182345,-117.35148705198426,-1.0282345453616162,0.6389204953027486,-2.5382766143171542,1.5466666666666666
Zimba,-1.2265541382507277,-2.5191203611847657,-114.89809337906604,-1.0296794209229805,0.6517203799171952,-2.5622979446807963,1.5466666666666666
Kazungula,-1.2175033420087382,-2.4919287530703085,-109.19177216756403,-0.7884951606014352,0.6855212661470561,-2.574300571017482,1.5466666666666666
Sinazongwe,-1.2054563954232116,-2.4643528618099175,-107.91630340897045,-0.918541897681411,0.5727604241159635,-2.4836615217962996,1.5466666666666666
Siavonga,-0.9622074164571309,-2.3771320698094307,-93.27472762639523,-0.5044726048931807,0.6501798463222186,-2.3549630326223303,1.5466666666666666
Livingstone,-1.017645733264398,-2.0410663680673538,-75.45718811741482,-0.482061850155903,0.6955766476376389,-2.3856254830324275,1.5466666666666666
Chirundu,-0.8361475491646508,-1.992133040615777,-68.5077704613396,-0.4635355069183337,0.713233622418374,-2.3504109437932135,1.5466666666666666
